Player.Name,Salary,Position,Age,Team,GP,MP,FGA,FG.,TRB,AST,PTS,Total.Minutes,PER,TS.,FTr,TRB.,AST.,USG.,WS,OBPM,DBPM,BPM,VORP
Blake Griffin,2905851,C,33,BOS,41,13.9,3.2,0.485,3.8,1.5,4.1,569,13.1,0.59,0.246,14.9,14.2,12.7,1.8,-1.4,1.5,0.1,0.3
Robin Lopez,2905851,C,34,CLE,37,8.1,2,0.64,1.4,0.5,3,299,11.6,0.675,0.24,10,9.1,16.1,0.6,-3.4,0.3,-3,-0.1
Markieff Morris,2905851,PF,33,BRK/DAL,35,10.1,3.3,0.409,2,0.9,3.8,355,10.4,0.553,0.087,11.3,12.2,17.2,0.4,-2.3,-0.4,-2.7,-0.1
Andre Iguodala,2905851,PF,39,GSW,8,14.1,1.9,0.467,2.1,2.4,2.1,113,7.3,0.521,0.2,8.3,20.3,9.4,0.1,-4.3,1.7,-2.5,0
Serge Ibaka,2905851,C,33,MIL,16,11.6,3.4,0.481,2.8,0.3,4.1,185,9.8,0.553,0.241,12.4,2.9,16.1,0.2,-4.6,0,-4.5,-0.1
Wesley Matthews,2905851,SF,36,MIL,52,15.8,3.1,0.363,2.2,0.7,3.4,820,7,0.519,0.175,7.2,5.1,9.8,1.2,-3.4,0.8,-2.7,-0.1
Austin Rivers,2905851,SG,30,MIN,52,19.5,4,0.435,1.6,1.4,4.9,1016,7.4,0.564,0.187,4.6,9.3,10.5,1.3,-3.3,0.5,-2.8,-0.2
Bismack Biyombo,2905851,C,30,PHO,61,14.3,3.4,0.578,4.3,0.9,4.3,874,14.4,0.555,0.34,16.5,8.7,14,1.9,-3.4,2.5,-0.9,0.2
Taj Gibson,2905851,C,37,WAS,49,9.8,2.6,0.52,1.9,0.7,3.4,480,11.4,0.585,0.336,10.8,9.6,15.3,0.8,-3.6,0.5,-3.2,-0.1
Precious Achiuwa,2840160,C,23,TOR,55,20.7,7.3,0.485,6,0.9,9.2,1140,15.2,0.554,0.307,16.3,6.3,19.4,2.2,-1.4,-0.8,-2.3,-0.1
Christian Braun,2808600,SG,21,DEN,76,15.5,3.8,0.495,2.4,0.8,4.7,1181,10.3,0.568,0.221,8.8,6.4,13,1.9,-2.5,0.1,-2.4,-0.1
Jordan Nwora,2800000,SF,24,MIL/IND,62,19.2,7.2,0.436,3.7,1.4,8.7,1188,12.2,0.561,0.193,10.4,10.5,19.4,1.5,-0.8,-1.3,-2.1,0
Jalen Johnson,2792640,SF,21,ATL,70,14.9,4.6,0.491,4,1.2,5.6,1042,14.1,0.554,0.242,14.8,10.4,16,2.1,-1.2,1.5,0.3,0.6
Tyrese Maxey,2726880,SG,22,PHI,60,33.6,15.2,0.481,2.9,3.5,20.3,2016,17,0.605,0.233,5.2,16.9,24.1,5.4,1.9,-1.2,0.6,1.3
Bruno Fernando,2717391,C,24,HOU/ATL,39,10.4,2.9,0.527,3.5,0.8,3.9,405,16.6,0.571,0.446,18.6,10.8,16.3,0.9,-2.8,0.7,-2,0
Walker Kessler,2696400,C,21,UTA,74,23,5.6,0.72,8.4,0.9,9.2,1703,21.5,0.702,0.384,19.7,5.7,13.3,7.1,1.4,1.5,2.9,2.1
